prodname,category,price,qty,date_sold,is_price_imputed,is_qty_imputed
coffee mug,kitchen,5.49,10.0,2024-01-05,0,0
desk chair,office,89.99,1.0,2024-01-07,0,0
desk chair,office,89.99,1.0,,0,0
laptop stand,office supplies,24.99,3.0,2024-01-03,0,1
notebook,office,3.25,25.0,2024-01-06,0,0
notebook,office,3.25,0.0,2024-01-06,0,0
pen set,office,4.5,12.0,2024-01-08,0,0
pen set,office,4.5,12.0,2024-01-08,0,0
standing desk,office,199.99,1.0,2024-01-08,0,0
stapler,office,6.25,5.0,2024-01-09,0,0
usb cable,electronics,7.99,3.0,2024-01-02,0,0
water bottle,fitness,12.0,4.0,2024-01-07,0,0
wireless mouse,electronics,7.99,1.0,2024-01-04,1,0
coffee mug,kitchen,5.49,3.0,2024-01-05,0,1
standing desk,office furniture,199.99,1.0,2024-01-08,0,0
stapler,office,6.25,5.0,2024-01-09,0,0
usb cable,electronics,7.99,3.0,2024-01-02,0,1
water bottle,fitness,12.0,4.0,2024-01-07,0,0
wireless mouse,electronics,15.99,1.0,2024-01-04,0,0

